20101004225712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Medtronic..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barre céréales fruits rouges,g,100,,,50.00,,unité de 30g,1,,,15,,,,,,,,,,,,,,,,,,,
Barre céréales raisins,g,100,,,60.00,,unité de 25g,1,,,15,,,,,,,,,,,,,,,,,,,
Barre de céréales moyenne,g,100,,,80.00,,unité de 20g à 30g,1,,,20,,,,,,,,,,,,,,,,,,,
Barre glacée (type mars| snickers),ml,100,,,40.00,,unité 50ml à 60ml,1,,,20,,,,,,,,,,,,,,,,,,,
Barre grany de Lu,g,100,,,75.00,,unité de 20g,1,,,15,,,,,,,,,,,,,,,,,,,
Barre ovomaltine chocolat,g,100,,,75.00,,unité de 20g,1,,,15,,,,,,,,,,,,,,,,,,,
Bâtonnet glacé,ml,100,,,22.22,,unité de 90ml,1,,,20,,,,,,,,,,,,,,,,,,,
Bavarois chocolat| citron ou framboise,g,100,,,30.00,,part de 100g,1,,,30,,,,,,,,,,,,,,,,,,,
Beignet  nature,g,100,,,45.00,,mini de 20g,1,,,9,,grand de 40g,1,,,18,,,,,,,,,,,,,
Beignet de crevettes,g (moyenne),100,,,25.00,,unité de 20g,1,,,5,,beignet de 15g (Picard-17.8%),,,,2.7,,,,,,,,,,,,,
Beignet de légumes,g,100,,,12.10,,,,,,,,,,,,,,,,,,,,,,,,,
Beignet fourré pomme ou fraise,g,100,,,46.00,,unité de 75g,1,,,34.5,,,,,,,,,,,,,,,,,,,
Bette cuite| cardon,g,100,,,2.00,,assiette de 200g,1,,,4,,,,,,,,,,,,,,,,,,,
Betteraves rouges cuites,g,100,,,8.00,,assiette de 100g,1,,,8,,,,,,,,,,,,,,,,,,,
Beurre de cacahuètes| d arachide,g,100,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,
Beurre| beurre allégé,g,100,,,0.00,,carré de 10g,1,,,0,,,,,,,,,,,,,,,,,,,
Bière 5° ordinaire,ml,100,,,4.00,,demi (25 cl),1,,,10,,canette (33cl),1,,,15,,,,,,,,,,,,,
Bière blonde,ml,100,,,4.80,,verre (25cl),1,,,12,,,,,,,,,,,,,,,,,,,
Bière brune,ml,100,,,6.00,,verre (25cl),1,,,15,,,,,,,,,,,,,,,,,,,
Bière sans alcool,ml,100,,,6.00,,demi (25cl),1,,,15,,canette (33cl),1,,,19.8,,,,,,,,,,,,,
Big mac (McDo),unité de 221g,1,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,
Biscotte,g,100,,,75.00,,unité de 8g,1,,,6,,,,,,,,,,,,,,,,,,,
Biscotte Wasa,biscotte Authentique (11g),1,,,7.50,,biscotte Fibres (11g),1,,,5,,biscotte Runda Sesam (15g),1,,,9.5,,,,,,,,,,,,,
Biscuit à la cuiller,g,100,,,75.00,,unité de 10g,1,,,7.5,,portion de 4,1,,,30,,,,,,,,,,,,,
Biscuit thé Lu,g,100,,,73.00,,unité de 7g,1,,,5.1,,portion de 4,1,,,20,,,,,,,,,,,,,
Biscuits apéritifs salés,g,100,,,50.00,,portion de 50g,1,,,25,,,,,,,,,,,,,,,,,,,
Bisque de homard,ml,100,,,4.00,,bol (25cl),1,,,10,,,,,,,,,,,,,,,,,,,
Bitters,ml,100,,,13.00,,petit verre (10cl),1,,,13,,,,,,,,,,,,,,,,,,,
Blé cuit (type Ebly),g,100,,,20.00,,assiette de 200g,1,,,40,,,,,,,,,,,,,,,,,,,
Blé soufflé pour petit déjeuner,g,100,,,75.00,,bol de 40g,1,,,30,,,,,,,,,,,,,,,,,,,
Blinis ,g,100,,,35.71,,mini coktail (11g),1,,,4,,portion de 4 minis cocktail,1,,,15,,grand (70g),1,,,25,,,,,,,
BN,g,100,,,68.00,,biscuit (18.75g - non allégé),1,,,13,,mini (7g),1,,,4.6,,pochon de 6 mini,1,,,27.6,,biscuit (chocolat allegé - 19g),1,,,11.8,
Boeuf carottes,g (carottes),100,,,5.00,,assiette de 300g,1,,,15,,,,,,,,,,,,,,,,,,,
Boisson au lait et jus de fruit,ml,100,,,10.00,,verre (20cl),1,,,20,,,,,,,,,,,,,,,,,,,
Boisson cacao sucrée,ml,100,,,10.00,,petit verre (10cl),1,,,10,,verre (20cl),1,,,20,,,,,,,,,,,,,
Boisson chaude goût cacao suchard (McDo),verre (200ml),1,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,
Boisson orange ou fruits exotiques,ml,100,,,10.00,,petit verre (10cl),1,,,10,,verre (20cl),1,,,20,,,,,,,,,,,,,
Bonbon gélifié,g,100,,,75.00,,unité de 7g,1,,,5,,,,,,,,,,,,,,,,,,,
Bonbon type Krema,g,100,,,100.00,,unité de 5 g,1,,,5,,unité de 6.8g (Regal'ad de Krema-82.8%),1,,,5.6,,,,,,,,,,,,,
Bonjour chicoré (Nestlé),dose pour 1 tasse,1,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,
Bonjour chocolat (Nestlé),dose pour 1 tasse,1,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,
Bouchée à la reine (ou vol au vent),g,100,,,15.00,,unité de 150g,1,,,23,,,,,,,,,,,,,,,,,,,
Bouchée vapeur (chinoise),g,100,,,22.00,,portion (45g) de 2 unités,1,,,10,,,,,,,,,,,,,,,,,,,
Boudin blanc ,g,100,,,6.00,,portion de 120g,1,,,7,,,,,,,,,,,,,,,,,,,
Boudin noir,g,100,,,4.00,,portion de 120g,1,,,5,,,,,,,,,,,,,,,,,,,
Boudin noir antillais,g,100,,,10.00,,portion de 60g,1,,,6,,portion de 120g,1,,,10,,,,,,,,,,,,,
Boudoir,g,100,,,82.00,,biscuit de 6.6g,1,,,5,,portion de 4,1,,,22,,,,,,,,,,,,,
Bouillon cube,g,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Bouillon de légumes,g,100,,,0.00,,bol (25cl),1,,,0,,,,,,,,,,,,,,,,,,,
Bouillon vermicelles,g,100,,,6.00,,bol (25cl),1,,,15,,,,,,,,,,,,,,,,,,,
Boulettes de viande,g,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Boulgour| blé cuit (type Ebly)| pilpil,g,100,,,20.00,,assiette de 200g,1,,,40,,,,,,,,,,,,,,,,,,,
Bounty,g,100,,,57.00,,unité de 30g,1,,,17,,,,,,,,,,,,,,,,,,,
Brandade de morue,g,100,,,10.00,,assiette de 300g,1,,,30,,g (Picard),100,,,9.2,,,,,,,,,,,,,
Bretzel,g,100,,,20.00,,portion de 50g,1,,,10,,,,,,,,,,,,,,,,,,,
Bretzel sec (apéritif),g,100,,,74.00,,,,,,,,,,,,,,,,,,,,,,,,,
Brioche (boulangerie),g,100,,,41.00,,part de 60g,1,,,25,,,,,,,,,,,,,,,,,,,
Brioche (industrielle),g,100,,,50.00,,portion de 2  tranches de 20g,1,,,10,,grande tranche de 30g (type Harry's),1,,,15,,ronde individuelle de 40g,1,,,20,,pitch de 40g (type Pasquier),1,,,20,
Brioche au chocolat ou pépites,g,100,,,50.00,,part de 40g,1,,,20,,,,,,,,,,,,,,,,,,,
Briochettes toastées (McDo),portion (80g) de 2 unités,1,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,
Brocolis cuit,g,100,,,1.40,,assiette de 200g,1,,,3,,,,,,,,,,,,,,,,,,,
Brownie (gâteau) chocolat ,g,100,,,47.90,,part de 80g,1,,,38,,,,,,,,,,,,,,,,,,,
Brownie au chocolat et noix (McDo),part de 50g,1,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,
Brownie chocolat pépites ou noisettes (biscuits) Brossard,g,100,,,49.00,,portion de 31g,1,,,15,,,,,,,,,,,,,,,,,,,
Brugnon (hors peau et noyau),g,100,,,13.00,,moyen (140g),1,,,18,,,,,,,,,,,,,,,,,,,
Brut de pomme,g,100,,,7.50,,grand verre (25cl),1,,,18.8,,,,,,,,,,,,,,,,,,,
Bûche de Noël (biscuit roulé et crème au beurre),g,100,,,25.00,,part de 100g,1,,,25,,,,,,,,,,,,,,,,,,,
Bûche de Noël (recettes autres),g,100,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,
Cacahuètes,g,100,,,9.00,,poignée de 25g (Benenuts),1,,,3,,,,,,,,,,,,,,,,,,,
Cacao amer en poudre sans sucre,g de Cacao marque Van Houten,100,,,13.00,,c. à soupe de 20g,1,,,3,,,,,,,,,,,,,,,,,,,
Café expresso jacques vabre (McDo),gobelet de 50ml,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Café ou chocolat liégeois (glacé),grande coupe ,1,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,
Café sans sucre,ml,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Café viennois ou café liégeois,g,100,,,17.00,,pot de 115g,1,,,20,,,,,,,,,,,,,,,,,,,
