20091215223527,,,,,,,,,,,,,,,,,,
source used :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,
Berliner,grams,100,321.00,8.42,45.30,12.76,,,,,,,,,,,,
Berner Zungenwurst| ungegart,grams,100,221.20,15.63,0.49,18.04,,,,,,,,,,,,
Biber,grams,100,364.96,8.13,65.97,9.10,,,,,,,,,,,,
Bierhefe| getrocknet,grams,100,335.40,47.90,36.00,4.20,,,,,,,,,,,,
Bierwurst| ungegart,grams,100,245.82,13.64,0.39,21.07,,,,,,,,,,,,
Birchermüesli| Flockenmischung mit Früchten und Nüssen| gezuckert,grams,100,357.04,10.68,70.90,7.28,,,,,,,,,,,,
Birchermüesli| Flockenmischung mit Früchten und Nüssen| ungesüsst,grams,100,349.68,11.06,69.65,7.32,,,,,,,,,,,,
Birne| frisch,grams,100,53.10,0.40,14.50,0.30,,,,,,,,,,,,
Birne| getrocknet,grams,100,261.62,2.40,73.23,1.44,,,,,,,,,,,,
Birnensaft,grams,100,48.50,0.50,11.00,0.50,,,,,,,,,,,,
Birnenweggen,grams,100,303.74,4.48,55.29,10.36,,,,,,,,,,,,
Blanc battu,grams,100,53.03,8.60,4.36,0.12,,,,,,,,,,,,
Blanc battu mit Früchten| ungezuckert,grams,100,70.81,8.09,9.63,0.18,,,,,,,,,,,,
Blätterteig| Butter-,grams,100,390.95,4.89,32.65,27.43,,,,,,,,,,,,
Blätterteig| mit pflanzlichem Fett,grams,100,383.89,4.66,32.42,26.85,,,,,,,,,,,,
Blätterteigpastetli| Butter-,grams,100,560.00,5.80,45.10,40.50,,,,,,,,,,,,
Blätterteigstängel,grams,100,502.06,10.97,54.48,27.86,,,,,,,,,,,,
Blumenkohl| roh,grams,100,21.50,2.40,4.70,0.30,,,,,,,,,,,,
Blutwurst,grams,100,144.00,11.86,2.32,9.87,,,,,,,,,,,,
Bohne (Gartenbohne)| grün| getrocknet,grams,100,202.00,20.20,51.00,2.00,,,,,,,,,,,,
Bohne| weiss| getrocknet,grams,100,260.80,21.10,59.50,1.20,,,,,,,,,,,,
Bolognaisesosse (Hackfleischsosse),grams,100,94.66,6.33,8.89,4.00,,,,,,,,,,,,
Bouillon| Fleisch-,grams,100,4.83,0.30,0.23,0.30,,,,,,,,,,,,
Bouillon| Geflügel-,grams,100,5.10,0.26,0.33,0.30,,,,,,,,,,,,
Bouillon| Gemüse-,grams,100,6.20,0.30,0.79,0.40,,,,,,,,,,,,
Branntwein aus Getreide (z.B. Whisky),grams,100,252.44,0.00,0.11,0.00,,,,,,,,,,,,
Branntwein aus Wein (z.B.Cognac),grams,100,239.62,0.00,1.98,0.00,,,,,,,,,,,,
Branntwein aus Zuckerrohr (z.B. Rum),grams,100,233.80,0.00,0.00,0.00,,,,,,,,,,,,
Bratbutter,grams,100,885.17,0.10,0.01,98.30,,,,,,,,,,,,
Bratensosse| gebunden,grams,100,52.00,1.62,5.12,3.00,,,,,,,,,,,,
Bratensosse| klar,grams,100,42.50,1.50,3.50,2.50,,,,,,,,,,,,
Bresaola,grams,100,166.86,32.44,0.42,3.93,,,,,,,,,,,,
Brie| halbfett,grams,100,201.10,24.00,0.40,11.50,,,,,,,,,,,,
Brie| Rahm,grams,100,335.60,16.00,0.40,30.00,,,,,,,,,,,,
Brie| vollfett,grams,100,300.30,21.80,0.40,23.50,,,,,,,,,,,,
Broccoli| roh,grams,100,25.20,3.00,5.40,0.40,,,,,,,,,,,,
Brombeere| frisch,grams,100,32.40,1.00,12.20,0.40,,,,,,,,,,,,
