20091215223820,,,,,,,,,,,,,,,,,,
Source used : Danish Food Composition Databank. Version 6.0 June 2005 - www.foodcomp.dk,,,,,,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,
Bambusskud| rå,grams,100,41,3.60,6.70,0.1,,,,,,,,,,,,
Banan| rå,grams,100,81,1.30,19.00,0.3,,,,,,,,,,,,
Batat| sød kartoffel| rå,grams,100,70,1.30,17.00,0.3,,,,,,,,,,,,
Birkes| frø,grams,100,551,18.00,23.70,44.7,,,,,,,,,,,,
Bitter| sød| uspec.,grams,100,264,0.00,18.00,0,,,,,,,,,,,,
Bitter| uspec.,grams,100,208,0.00,0.20,0,,,,,,,,,,,,
Blåbær| frosne| usukrede,grams,100,53,0.40,12.20,0.6,,,,,,,,,,,,
Blåbær| rå,grams,100,48,0.70,11.50,0.5,,,,,,,,,,,,
Bladbede| sølvbede| rå,grams,100,22,1.80,3.70,0.2,,,,,,,,,,,,
Bladselleri| rå,grams,100,22,0.80,5.20,0.2,,,,,,,,,,,,
Blæksprutte| rå,grams,100,80,16.40,1.50,0.9,,,,,,,,,,,,
Blodpølse,grams,100,310,10.70,23.00,20.8,,,,,,,,,,,,
Blomkål| dansk| rå,grams,100,23,2.00,4.20,0.4,,,,,,,,,,,,
Blomkål| dybfrost,grams,100,27,2.00,4.70,0.3,,,,,,,,,,,,
Blomkål| importeret| rå,grams,100,31,3.10,5.20,0.4,,,,,,,,,,,,
Blomkål| uspec.| rå,grams,100,27,2.40,4.70,0.4,,,,,,,,,,,,
Blomme| rå,grams,100,42,0.50,10.20,0.3,,,,,,,,,,,,
Boghvede| hel| rå,grams,100,365,12.60,71.50,3.7,,,,,,,,,,,,
Boghvedegryn| rå,grams,100,360,7.00,79.80,1.4,,,,,,,,,,,,
Boghvedemel,grams,100,357,6.60,78.00,2,,,,,,,,,,,,
Bolcher| blandede,grams,100,396,0.00,97.50,0,,,,,,,,,,,,
Bolcher| uspec.,grams,100,419,0.30,94.20,4,,,,,,,,,,,,
Bomuldsfrøolie,grams,100,884,0.00,0.00,100,,,,,,,,,,,,
Bondebrød med fedtrige frø| industrifremstillet,grams,100,241,9.00,44.00,5.2,,,,,,,,,,,,
Bondebrød| uden fedtrige frø| industrifremstillet,grams,100,230,6.50,50.00,1.3,,,,,,,,,,,,
Bønner| brune| tørrede,grams,100,313,18.90,63.40,2,,,,,,,,,,,,
Bønnespirer| adzuki| rå,grams,100,135,10.00,24.00,1,,,,,,,,,,,,
Bønnespirer| mung| rå,grams,100,35,3.00,5.90,0.2,,,,,,,,,,,,
Bønnespirer| soja| konserves,grams,100,17,1.60,3.80,0.2,,,,,,,,,,,,
Bønnespirer| soja| rå,grams,100,57,6.20,5.30,1.4,,,,,,,,,,,,
Bønnespirer| uspec.| rå,grams,100,32,3.00,4.90,0.3,,,,,,,,,,,,
Bouillon| oksekød| koncentreret| terning,grams,100,161,17.00,15.80,3.2,,,,,,,,,,,,
Bouillon| oksekød| terning| spiseklar,grams,100,6,1.10,0.00,0.2,,,,,,,,,,,,
Brasen| rå,grams,100,103,16.70,0.00,4,,,,,,,,,,,,
Brie| 45+,grams,100,279,20.80,0.20,22,,,,,,,,,,,,
Brie| 50+,grams,100,327,19.80,0.20,27.8,,,,,,,,,,,,
Brie| 60+,grams,100,368,17.40,0.20,33.6,,,,,,,,,,,,
Brisling (ansjovis)| marineret| konserves,grams,100,210,13.40,10.00,13,,,,,,,,,,,,
Brisling (sardin)| i olie| konserves,grams,100,188,22.80,0.00,10.8,,,,,,,,,,,,
Brisling (sardin)| i tomat| konserves,grams,100,204,15.10,0.50,16,,,,,,,,,,,,
Brisling| rå,grams,100,161,16.80,0.00,10.5,,,,,,,,,,,,
Brissel| kalv| rå,grams,100,107,17.80,0.00,4,,,,,,,,,,,,
Broccoli| rå,grams,100,44,5.30,6.10,0.6,,,,,,,,,,,,
Brombær| dybfrost| usukrede,grams,100,66,1.20,15.70,0.4,,,,,,,,,,,,
Brombær| rå,grams,100,41,1.40,9.00,1,,,,,,,,,,,,
Brøndkarse| rå,grams,100,14,1.70,2.10,0.2,,,,,,,,,,,,
Brosme| rå,grams,100,79,19.00,0.00,0.3,,,,,,,,,,,,
Buddingpulver,grams,100,353,0.30,87.50,0,,,,,,,,,,,,
Bulgur (hvedekerner| knækkede| parboiled)| rå,grams,100,359,10.80,76.70,2.3,,,,,,,,,,,,
Byggryn| rå,grams,100,350,9.20,76.90,2.4,,,,,,,,,,,,
Bygmel,grams,100,340,9.20,72.00,3,,,,,,,,,,,,
Cacao| instant| med mælk| pulver,grams,100,372,16.20,71.80,3.4,,,,,,,,,,,,
Cacao| instant| uden mælk| pulver,grams,100,397,5.30,87.40,3.8,,,,,,,,,,,,
Cacao| pulver,grams,100,402,22.50,41.70,21.9,,,,,,,,,,,,
Cacaomælk,grams,100,70,3.70,10.00,1.8,,,,,,,,,,,,
Cacaomælk (UHT),grams,100,70,3.60,10.20,1.7,,,,,,,,,,,,
Cacaoskummetmælk,grams,100,60,3.60,10.40,0.5,,,,,,,,,,,,
Cacaoskummetmælk (UHT),grams,100,60,3.60,10.40,0.5,,,,,,,,,,,,
Cacaosmør,grams,100,884,0.00,0.00,100,,,,,,,,,,,,
Camembert| 30+,grams,100,199,25.00,0.20,11,,,,,,,,,,,,
Camembert| 45+,grams,100,285,21.40,0.20,22.4,,,,,,,,,,,,
Camembert| 50+,grams,100,288,19.50,0.20,23.6,,,,,,,,,,,,
