20091215224658,,,,,,,,,,,,,,,,,,
Sursa : http://www.getfit.ro/continut.php,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,
Afine,grame,100,61.00,0.60,15.10,0.6,,,,,,,,,,,,
Agrise ,grame,100,35.00,0.80,8.30,0.5,,,,,,,,,,,,
Albus de ou de gaina ,grame,100,57.00,13.00,0.50,0.2,,,,,,,,,,,,
Alune curatate,grame,100,671.00,12.70,18.00,60.9,,,,,,,,,,,,
Amidon ,grame,100,340.00,0.00,83.00,0,,,,,,,,,,,,
Andive si cicoare ,grame,100,20.00,1.70,4.10,0.2,,,,,,,,,,,,
Anghinare ,grame,100,51.00,3.00,11.80,0.2,,,,,,,,,,,,
Arahide,grame,100,560.00,30.60,18.20,46.1,,,,,,,,,,,,
Ardei ,grame,100,112.00,1.20,8.00,8,,,,,,,,,,,,
Ardei gras rosu ,grame,100,39.00,1.30,7.30,0.4,,,,,,,,,,,,
Ardei gras verde ,grame,100,17.00,1.10,2.50,0.2,,,,,,,,,,,,
Ardei iute ,grame,100,24.00,1.20,5.30,0.2,,,,,,,,,,,,
Arpacas de orz ,grame,100,343.00,9.50,72.00,1.5,,,,,,,,,,,,
Babusca in sos tomat ,grame,100,112.00,11.10,3.40,5.6,,,,,,,,,,,,
Bame in bulion ,grame,100,36.00,1.50,6.00,0.6,,,,,,,,,,,,
Bame in ulei ,grame,100,89.00,1.90,6.20,6,,,,,,,,,,,,
Banane ,grame,100,94.00,1.30,24.00,0.4,,,,,,,,,,,,
Bere blonda ,grame,100,47.00,0.00,5.00,3,,,,,,,,,,,,
Bere neagra ,grame,100,47.00,0.00,5.00,3,,,,,,,,,,,,
Biscuiti ,grame,100,425.00,8.20,74.00,9.5,,,,,,,,,,,,
Bomboane de ciocolata ,grame,100,574.00,7.00,66.30,33.8,,,,,,,,,,,,
Branza de burduf,grame,100,360.00,27.40,9.50,27.4,,,,,,,,,,,,
Branza de Olanda,grame,100,365.00,31.40,0.20,25.4,,,,,,,,,,,,
Branza dietetica de vaca,grame,100,90.00,18.00,4.00,0,,,,,,,,,,,,
Branza grasa de vaca,grame,100,155.00,13.00,4.50,9,,,,,,,,,,,,
