20091215223110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beurre,g,100,746.30,0.70,0.70,82.30,,,,,,,,,,,,,,,,,,,,,,,,
Beurre à rôtir,g,100,885.17,0.10,0.01,98.30,,,,,,,,,,,,,,,,,,,,,,,,
Beurre d''arachides,g,100,626.10,22.60,19.80,53.70,,,,,,,,,,,,,,,,,,,,,,,,
Beurre de cuisine,g,100,744.60,0.50,0.70,82.20,,,,,,,,,,,,,,,,,,,,,,,,
Beurre de fromagerie,g,100,746.34,0.40,0.56,82.50,,,,,,,,,,,,,,,,,,,,,,,,
Beurre de sérac,g,100,370.07,11.50,2.82,34.75,,,,,,,,,,,,,,,,,,,,,,,,
Biber,g,100,364.96,8.13,65.97,9.10,,,,,,,,,,,,,,,,,,,,,,,,
Bière,g,100,38.00,0.44,2.90,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Bière aux cinq céréales,g,100,40.00,0.62,2.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits aux amandes (amaretto),g,100,424.16,10.02,57.89,20.11,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits aux noisettes,g,100,465.00,6.70,50.80,27.70,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits aux noisettes et au chocolat,g,100,515.76,9.18,58.55,28.34,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits complets aus noisettes| sucrés,g,100,487.57,10.31,58.17,26.97,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits complets aux grains| sucrés,g,100,461.30,11.72,59.86,23.90,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits complets| sucrés,g,100,462.13,10.20,64.36,21.54,,,,,,,,,,,,,,,,,,,,,,,,
Blanc battu,g,100,53.03,8.60,4.36,0.12,,,,,,,,,,,,,,,,,,,,,,,,
Blanc battu aux fruits| non sucré,g,100,70.81,8.09,9.63,0.18,,,,,,,,,,,,,,,,,,,,,,,,
Blanc d''oeuf| cru,g,100,44.10,10.50,0.30,0.10,,,,,,,,,,,,,,,,,,,,,,,,
Blé tendre (froment)| grains entiers,g,100,298.47,10.90,72.90,1.83,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| bouilli| cru,g,100,141.49,19.60,0.00,7.01,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| coin (tranche)| cru,g,100,110.91,22.62,0.00,2.27,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| cou (ragoût| goulache)| cru,g,100,149.65,19.30,0.00,8.05,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| entrecôte| steak| crus,g,100,137.75,22.26,0.00,5.41,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| épaule (rôti)| crue,g,100,117.45,21.60,0.00,3.45,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| filet| cru,g,100,105.04,21.85,0.00,1.95,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| foie| cru,g,100,137.74,20.45,5.30,3.86,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| langue| crue,g,100,195.72,16.00,3.68,13.00,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| poitrine| cru,g,100,188.00,18.88,0.00,12.51,,,,,,,,,,,,,,,,,,,,,,,,
Boeuf| viande hachée| crue,g,100,168.93,19.69,0.00,10.01,,,,,,,,,,,,,,,,,,,,,,,,
Boisson à base de lait| édulcorée,g,100,36.66,3.60,5.13,0.34,,,,,,,,,,,,,,,,,,,,,,,,
Boisson à base de lait| sucrée,g,100,61.00,3.70,10.75,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Boisson de table| avec peti-lait| sucrée,g,100,36.00,0.00,9.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Boisson de table| avec petit-lait et extrait de thé vert,g,100,36.00,0.00,9.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Boisson de table| avec petit-lait| édulcorée,g,100,6.00,0.00,1.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Bonbon dur,g,100,385.00,0.50,95.00,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Bonbon gélifié| à l''arome de fruit,g,100,188.00,1.00,45.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Boucles de Willisau,g,100,381.12,6.00,90.02,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Boudin,g,100,144.00,11.86,2.32,9.87,,,,,,,,,,,,,,,,,,,,,,,,
Bouillon de légumes,g,100,6.20,0.30,0.79,0.40,,,,,,,,,,,,,,,,,,,,,,,,
Bouillon de poule,g,100,5.10,0.26,0.33,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Bouillon de viande,g,100,4.83,0.30,0.23,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Boule de Bâle,g,100,265.32,11.99,0.39,23.97,,,,,,,,,,,,,,,,,,,,,,,,
Boule de Berlin,g,100,321.00,8.42,45.30,12.76,,,,,,,,,,,,,,,,,,,,,,,,
Bresaola,g,100,166.86,32.44,0.42,3.93,,,,,,,,,,,,,,,,,,,,,,,,
Brie| à la crème,g,100,335.60,16.00,0.40,30.00,,,,,,,,,,,,,,,,,,,,,,,,
